datetime,index_return_sh,index_return_sz,index_return_cyb,index_return_bse,limit_up_1st,limit_up_2nd,limit_up_3rd,limit_up_4th,limit_up_5th,limit_up_6th,limit_down,limit_up_20cm_1st,limit_up_20cm,limit_up_30cm_1st,limit_up_30cm
2021-11-18,-0.05935864627377457,0.13669732235736556,-0.9595695583536035,0.5022787034706477,0.14285714285714285,0.0,0.0013986013986013986,0.0234375,0.007194244604316547,0.0,0.0,0.4460814538374168,0.43106934638754285,0.38343013875443693,0.0
2021-11-19,0.5409370031338216,-0.35903186116889224,-0.5838571236027799,-0.8552313059094814,0.14285714285714285,0.1111111111111111,0.00034965034965034965,0.03125,0.007194244604316547,0.0,0.0,0.5497582346259938,0.5337088878502375,0.45501573088092934,0.0
2021-11-22,0.9646751085980071,0.13669732235736556,-0.5838571236027799,-0.8552313059094814,0.0,0.2222222222222222,0.0,0.03125,0.014388489208633094,0.0,0.0,0.5162096381632322,0.5446458881700328,0.5054990857265784,0.0
2021-11-23,-0.024047137485092435,0.012765026475801109,-0.20814468885195622,-0.8552313059094814,0.0,0.2222222222222222,0.00034965034965034965,0.03515625,0.007194244604316547,0.0,0.0,0.48933960733409054,0.4569629283412463,0.40777266860277506,0.0
2021-11-24,0.47031398555645737,-0.35903186116889224,-0.9595695583536035,-0.1764763012194168,0.0,0.2222222222222222,0.001048951048951049,0.05859375,0.02158273381294964,0.0,0.0,0.48317377900373193,0.4694300263216158,0.40661974292782616,0.0
2021-11-25,0.1525104064583182,-0.11116726940576335,0.1675677458988674,-0.8552313059094814,0.0,0.2222222222222222,0.0024475524475524478,0.01953125,0.007194244604316547,0.0,0.0,0.4612364108388771,0.45551154953137685,0.4161254974723029,0.0
2021-11-26,0.01126437130358969,0.012765026475801109,-0.5838571236027799,0.5022787034706477,0.0,0.0,0.0006993006993006993,0.015625,0.0,0.0,0.0,0.4402596138244361,0.4583700277975942,0.4147910616327848,0.0
2021-11-29,0.6821830382885501,-0.35903186116889224,0.1675677458988674,-0.8552313059094814,0.2857142857142857,0.0,0.0006993006993006993,0.02734375,0.0,0.0,0.0,0.4741002758396884,0.48621682123441,0.45366784984403574,0.0
2021-11-30,0.4350024767677752,0.26062961823893,-0.5838571236027799,0.5022787034706477,0.0,0.1111111111111111,0.0006993006993006993,0.01171875,0.007194244604316547,0.0,0.0,0.4788057764075937,0.47041401195542554,0.412696972141551,0.0
2021-12-01,0.929363599809325,-0.11116726940576335,0.543280180649691,-0.1764763012194168,0.0,0.1111111111111111,0.0013986013986013986,0.03125,0.0,0.0,0.0,0.5003082914165179,0.4747238690315122,0.3988248897493815,0.0
2021-12-02,-0.30653920779454946,0.38456191412049445,-0.20814468885195622,0.5022787034706477,0.14285714285714285,0.0,0.0017482517482517483,0.01953125,0.0,0.0,0.0,0.4711017361674509,0.4656810410568007,0.41395073679681615,0.0
2021-12-03,0.18782191524700032,0.012765026475801109,-0.20814468885195622,-0.8552313059094814,0.2857142857142857,0.0,0.002097902097902098,0.0078125,0.0,0.0,0.0,0.5376537400616582,0.5173698064008266,0.43159083575346885,0.0
2021-12-06,-0.20060468142850307,-0.4829641570504567,-0.5838571236027799,0.5022787034706477,0.0,0.1111111111111111,0.002797202797202797,0.0078125,0.0,0.0,0.0,0.44402401427876037,0.429268652677671,0.34991798429600945,0.0
2021-12-07,-0.12998166385113882,0.012765026475801109,-0.9595695583536035,-0.1764763012194168,0.2857142857142857,0.0,0.0038461538461538464,0.015625,0.0,0.0,0.0,0.4870939477527178,0.45661361344124385,0.383534339034097,0.0
2021-12-08,0.9999866173866893,-0.35903186116889224,0.9189926154005146,-0.8552313059094814,0.0,0.2222222222222222,0.00034965034965034965,0.015625,0.0,0.0,0.0,0.5533279247119909,0.5646995153870754,0.4759902387867054,0.0
2021-12-09,0.364379459190411,0.13669732235736556,-0.9595695583536035,1.859788712850777,0.0,0.2222222222222222,0.0006993006993006993,0.0078125,0.0,0.023809523809523808,0.0,0.5399318513710855,0.5355194214164474,0.454168683446273,0.0
2021-12-10,0.4350024767677752,-0.11116726940576335,-0.20814468885195622,-0.8552313059094814,0.5714285714285714,0.1111111111111111,0.00034965034965034965,0.015625,0.007194244604316547,0.0,0.0,0.46481259127048513,0.46342771395537635,0.42746316015919117,0.0
2021-12-13,0.47031398555645737,0.13669732235736556,0.543280180649691,-0.8552313059094814,0.0,0.4444444444444444,0.0,0.01953125,0.014388489208633094,0.023809523809523808,0.0,0.5027226999837742,0.5080809820176626,0.44944269656878566,0.0
2021-12-14,0.4350024767677752,0.7563588017651879,1.2947050501513382,1.1810337081607123,0.0,0.4444444444444444,0.00034965034965034965,0.03515625,0.007194244604316547,0.0,0.0,0.44215479474282005,0.4507342992792306,0.4183674841346671,0.0
2021-12-15,0.364379459190411,0.012765026475801109,2.0461299196529854,0.5022787034706477,0.14285714285714285,0.2222222222222222,0.00034965034965034965,0.0234375,0.014388489208633094,0.0,0.0,0.45200713938017195,0.43928070650168516,0.391053565666344,0.0
2021-12-16,0.2937564416130467,0.7563588017651879,0.543280180649691,3.0,0.14285714285714285,0.3333333333333333,0.00034965034965034965,0.03515625,0.02158273381294964,0.0,0.0,0.5253675158202173,0.5035743278148139,0.4451200656125632,0.0
2021-12-17,0.3290679504017288,0.26062961823893,0.9189926154005146,1.1810337081607123,0.5714285714285714,0.4444444444444444,0.0006993006993006993,0.01953125,0.007194244604316547,0.0,0.0,0.4013110498134025,0.3953801874492633,0.36616314402495426,0.0
2021-12-20,0.364379459190411,1.2520879852914457,0.9189926154005146,2.5385437175408416,0.2857142857142857,0.5566666666666656,0.004195804195804196,0.01171875,0.0,0.0,0.0,0.40737952295959756,0.37648274335194715,0.3206276218134882,0.0
2021-12-21,1.0352981261753713,1.4999525770545745,3.0,1.1810337081607123,0.5714285714285714,0.5566666666666656,0.003146853146853147,0.01953125,0.007194244604316547,0.0,0.0,0.5335713126723998,0.5156773511106739,0.4381722598687749,0.0
2021-12-22,0.2584449328243646,0.13669732235736556,0.543280180649691,3.0,0.14285714285714285,0.4444444444444444,0.002797202797202797,0.015625,0.007194244604316547,0.0,0.0,0.4721466818108064,0.5095028412585176,0.4385251962998816,0.0
2021-12-23,0.6468715294998679,-0.2350995652873278,0.1675677458988674,-0.1764763012194168,0.2857142857142857,0.0,0.007692307692307693,0.00390625,0.007194244604316547,0.0,0.0,0.5137627778679215,0.4993677892302773,0.42519092180273205,0.0
2021-12-24,0.01126437130358969,-0.4829641570504567,-0.5838571236027799,-0.1764763012194168,0.0,0.1111111111111111,0.008741258741258742,0.01171875,0.0,0.0,0.0,0.4315950024338796,0.4243782440776365,0.3438810906744111,0.0
